Year,Team,OPS,OBP
1955,Kansas City Athletics,0.703,0.321
1955,Washington Senators,0.673,0.322
1955,Pittsburgh Pirates,0.669,0.308
1955,Baltimore Orioles,0.634,0.314
1955,Brooklyn Dodgers,0.804,0.356
1955,Cincinnati Redlegs,0.766,0.341
1955,New York Yankees,0.758,0.34
1955,Boston Red Sox,0.753,0.351
1955,Milwaukee Braves,0.753,0.326
1955,Cleveland Indians,0.743,0.349
1955,Detroit Tigers,0.738,0.344
1955,Philadelphia Phillies,0.735,0.34
1955,Chicago White Sox,0.732,0.344
1955,New York Giants,0.727,0.325
1955,St. Louis Cardinals,0.721,0.321
1955,Chicago Cubs,0.703,0.305
1955,Kansas City Athletics,0.703,0.321
1955,Washington Senators,0.673,0.322
1955,Pittsburgh Pirates,0.669,0.308
1955,Baltimore Orioles,0.634,0.314
1955,Brooklyn Dodgers,0.804,0.356
1955,Cincinnati Redlegs,0.766,0.341
1955,New York Yankees,0.758,0.34
1955,Boston Red Sox,0.753,0.351
1955,Milwaukee Braves,0.753,0.326
1955,Cleveland Indians,0.743,0.349
1955,Detroit Tigers,0.738,0.344
1955,Philadelphia Phillies,0.735,0.34
1955,Chicago White Sox,0.732,0.344
1955,New York Giants,0.727,0.325
1955,St. Louis Cardinals,0.721,0.321
1955,Chicago Cubs,0.703,0.305
1955,Kansas City Athletics,0.703,0.321
1955,Washington Senators,0.673,0.322
1955,Pittsburgh Pirates,0.669,0.308
1955,Baltimore Orioles,0.634,0.314
1955,Brooklyn Dodgers,0.804,0.356
1955,Cincinnati Redlegs,0.766,0.341
1955,New York Yankees,0.758,0.34
1955,Boston Red Sox,0.753,0.351
1955,Milwaukee Braves,0.753,0.326
1955,Cleveland Indians,0.743,0.349
1955,Detroit Tigers,0.738,0.344
1955,Philadelphia Phillies,0.735,0.34
1955,Chicago White Sox,0.732,0.344
1955,New York Giants,0.727,0.325
1955,St. Louis Cardinals,0.721,0.321
1955,Chicago Cubs,0.703,0.305
1955,Kansas City Athletics,0.703,0.321
1955,Washington Senators,0.673,0.322
1955,Pittsburgh Pirates,0.669,0.308
1955,Baltimore Orioles,0.634,0.314
1955,Brooklyn Dodgers,0.804,0.356
1955,Cincinnati Redlegs,0.766,0.341
1955,New York Yankees,0.758,0.34
1955,Boston Red Sox,0.753,0.351
1955,Milwaukee Braves,0.753,0.326
1955,Cleveland Indians,0.743,0.349
1955,Detroit Tigers,0.738,0.344
1955,Philadelphia Phillies,0.735,0.34
1955,Chicago White Sox,0.732,0.344
1955,New York Giants,0.727,0.325
1955,St. Louis Cardinals,0.721,0.321
1955,Chicago Cubs,0.703,0.305
1955,Kansas City Athletics,0.703,0.321
1955,Washington Senators,0.673,0.322
1955,Pittsburgh Pirates,0.669,0.308
1955,Baltimore Orioles,0.634,0.314
1955,Brooklyn Dodgers,0.804,0.356
1955,Cincinnati Redlegs,0.766,0.341
1955,New York Yankees,0.758,0.34
1955,Boston Red Sox,0.753,0.351
1955,Milwaukee Braves,0.753,0.326
1955,Cleveland Indians,0.743,0.349
1955,Detroit Tigers,0.738,0.344
1955,Philadelphia Phillies,0.735,0.34
1955,Chicago White Sox,0.732,0.344
1955,New York Giants,0.727,0.325
1955,St. Louis Cardinals,0.721,0.321
1955,Chicago Cubs,0.703,0.305
1955,Kansas City Athletics,0.703,0.321
1955,Washington Senators,0.673,0.322
1955,Pittsburgh Pirates,0.669,0.308
1955,Baltimore Orioles,0.634,0.314
1955,Brooklyn Dodgers,0.804,0.356
1955,Cincinnati Redlegs,0.766,0.341
1955,New York Yankees,0.758,0.34
1955,Boston Red Sox,0.753,0.351
1955,Milwaukee Braves,0.753,0.326
1955,Cleveland Indians,0.743,0.349
1955,Detroit Tigers,0.738,0.344
1955,Philadelphia Phillies,0.735,0.34
1955,Chicago White Sox,0.732,0.344
1955,New York Giants,0.727,0.325
1955,St. Louis Cardinals,0.721,0.321
1955,Chicago Cubs,0.703,0.305
1955,Kansas City Athletics,0.703,0.321
1955,Washington Senators,0.673,0.322
1955,Pittsburgh Pirates,0.669,0.308
1955,Baltimore Orioles,0.634,0.314
1955,Brooklyn Dodgers,0.804,0.356
1955,Cincinnati Redlegs,0.766,0.341
1955,New York Yankees,0.758,0.34
1955,Boston Red Sox,0.753,0.351
1955,Milwaukee Braves,0.753,0.326
1955,Cleveland Indians,0.743,0.349
1955,Detroit Tigers,0.738,0.344
1955,Philadelphia Phillies,0.735,0.34
1955,Chicago White Sox,0.732,0.344
1955,New York Giants,0.727,0.325
1955,St. Louis Cardinals,0.721,0.321
1955,Chicago Cubs,0.703,0.305
1955,Kansas City Athletics,0.703,0.321
1955,Washington Senators,0.673,0.322
1955,Pittsburgh Pirates,0.669,0.308
1955,Baltimore Orioles,0.634,0.314
1956,Boston Red Sox,0.781,0.362
1956,New York Yankees,0.781,0.347
1956,Cincinnati Redlegs,0.777,0.336
1956,Detroit Tigers,0.776,0.356
1956,Brooklyn Dodgers,0.761,0.342
1956,Chicago White Sox,0.746,0.349
1956,Milwaukee Braves,0.746,0.323
1956,St. Louis Cardinals,0.732,0.333
1956,Washington Senators,0.718,0.341
1956,Cleveland Indians,0.716,0.335
1956,Philadelphia Phillies,0.71,0.329
1956,Pittsburgh Pirates,0.687,0.307
1956,Kansas City Athletics,0.685,0.315
1956,Chicago Cubs,0.684,0.302
1956,New York Giants,0.681,0.299
1956,Baltimore Orioles,0.67,0.32
1956,Boston Red Sox,0.781,0.362
1956,New York Yankees,0.781,0.347
1956,Cincinnati Redlegs,0.777,0.336
1956,Detroit Tigers,0.776,0.356
1956,Brooklyn Dodgers,0.761,0.342
1956,Chicago White Sox,0.746,0.349
1956,Milwaukee Braves,0.746,0.323
1956,St. Louis Cardinals,0.732,0.333
1956,Washington Senators,0.718,0.341
1956,Cleveland Indians,0.716,0.335
1956,Philadelphia Phillies,0.71,0.329
1956,Pittsburgh Pirates,0.687,0.307
1956,Kansas City Athletics,0.685,0.315
1956,Chicago Cubs,0.684,0.302
1956,New York Giants,0.681,0.299
1956,Baltimore Orioles,0.67,0.32
1956,Boston Red Sox,0.781,0.362
1956,New York Yankees,0.781,0.347
1956,Cincinnati Redlegs,0.777,0.336
1956,Detroit Tigers,0.776,0.356
1956,Brooklyn Dodgers,0.761,0.342
1956,Chicago White Sox,0.746,0.349
1956,Milwaukee Braves,0.746,0.323
1956,St. Louis Cardinals,0.732,0.333
1956,Washington Senators,0.718,0.341
1956,Cleveland Indians,0.716,0.335
1956,Philadelphia Phillies,0.71,0.329
1956,Pittsburgh Pirates,0.687,0.307
1956,Kansas City Athletics,0.685,0.315
1956,Chicago Cubs,0.684,0.302
1956,New York Giants,0.681,0.299
1956,Baltimore Orioles,0.67,0.32
1956,Boston Red Sox,0.781,0.362
1956,New York Yankees,0.781,0.347
1956,Cincinnati Redlegs,0.777,0.336
1956,Detroit Tigers,0.776,0.356
1956,Brooklyn Dodgers,0.761,0.342
1956,Chicago White Sox,0.746,0.349
1956,Milwaukee Braves,0.746,0.323
1956,St. Louis Cardinals,0.732,0.333
1956,Washington Senators,0.718,0.341
1956,Cleveland Indians,0.716,0.335
1956,Philadelphia Phillies,0.71,0.329
1956,Pittsburgh Pirates,0.687,0.307
1956,Kansas City Athletics,0.685,0.315
1956,Chicago Cubs,0.684,0.302
1956,New York Giants,0.681,0.299
1956,Baltimore Orioles,0.67,0.32
1956,Boston Red Sox,0.781,0.362
1956,New York Yankees,0.781,0.347
1956,Cincinnati Redlegs,0.777,0.336
1956,Detroit Tigers,0.776,0.356
1956,Brooklyn Dodgers,0.761,0.342
1956,Chicago White Sox,0.746,0.349
1956,Milwaukee Braves,0.746,0.323
1956,St. Louis Cardinals,0.732,0.333
1956,Washington Senators,0.718,0.341
1956,Cleveland Indians,0.716,0.335
1956,Philadelphia Phillies,0.71,0.329
1956,Pittsburgh Pirates,0.687,0.307
1956,Kansas City Athletics,0.685,0.315
1956,Chicago Cubs,0.684,0.302
1956,New York Giants,0.681,0.299
1956,Baltimore Orioles,0.67,0.32
1956,Boston Red Sox,0.781,0.362
1956,New York Yankees,0.781,0.347
1956,Cincinnati Redlegs,0.777,0.336
1956,Detroit Tigers,0.776,0.356
1956,Brooklyn Dodgers,0.761,0.342
1956,Chicago White Sox,0.746,0.349
1956,Milwaukee Braves,0.746,0.323
1956,St. Louis Cardinals,0.732,0.333
1956,Washington Senators,0.718,0.341
1956,Cleveland Indians,0.716,0.335
1956,Philadelphia Phillies,0.71,0.329
1956,Pittsburgh Pirates,0.687,0.307
1956,Kansas City Athletics,0.685,0.315
1956,Chicago Cubs,0.684,0.302
1956,New York Giants,0.681,0.299
1956,Baltimore Orioles,0.67,0.32
1956,Boston Red Sox,0.781,0.362
1956,New York Yankees,0.781,0.347
1956,Cincinnati Redlegs,0.777,0.336
1956,Detroit Tigers,0.776,0.356
1956,Brooklyn Dodgers,0.761,0.342
1956,Chicago White Sox,0.746,0.349
1956,Milwaukee Braves,0.746,0.323
1956,St. Louis Cardinals,0.732,0.333
1956,Washington Senators,0.718,0.341
1956,Cleveland Indians,0.716,0.335
1956,Philadelphia Phillies,0.71,0.329
1956,Pittsburgh Pirates,0.687,0.307
1956,Kansas City Athletics,0.685,0.315
1956,Chicago Cubs,0.684,0.302
1956,New York Giants,0.681,0.299
1956,Baltimore Orioles,0.67,0.32
1956,Boston Red Sox,0.781,0.362
1956,New York Yankees,0.781,0.347
1956,Cincinnati Redlegs,0.777,0.336
1956,Detroit Tigers,0.776,0.356
1956,Brooklyn Dodgers,0.761,0.342
1956,Chicago White Sox,0.746,0.349
1956,Milwaukee Braves,0.746,0.323
1956,St. Louis Cardinals,0.732,0.333
1956,Washington Senators,0.718,0.341
1956,Cleveland Indians,0.716,0.335
1956,Philadelphia Phillies,0.71,0.329
1956,Pittsburgh Pirates,0.687,0.307
1956,Kansas City Athletics,0.685,0.315
1956,Chicago Cubs,0.684,0.302
1956,New York Giants,0.681,0.299
1956,Baltimore Orioles,0.67,0.32
1956,Boston Red Sox,0.781,0.362
1956,New York Yankees,0.781,0.347
1956,Cincinnati Redlegs,0.777,0.336
1956,Detroit Tigers,0.776,0.356
1956,Brooklyn Dodgers,0.761,0.342
1956,Chicago White Sox,0.746,0.349
1956,Milwaukee Braves,0.746,0.323
1956,St. Louis Cardinals,0.732,0.333
1956,Washington Senators,0.718,0.341
1956,Cleveland Indians,0.716,0.335
1956,Philadelphia Phillies,0.71,0.329
1956,Pittsburgh Pirates,0.687,0.307
1956,Kansas City Athletics,0.685,0.315
1956,Chicago Cubs,0.684,0.302
1956,New York Giants,0.681,0.299
1956,Baltimore Orioles,0.67,0.32
1956,Boston Red Sox,0.781,0.362
1956,New York Yankees,0.781,0.347
1956,Cincinnati Redlegs,0.777,0.336
1956,Detroit Tigers,0.776,0.356
1956,Brooklyn Dodgers,0.761,0.342
1956,Chicago White Sox,0.746,0.349
1956,Milwaukee Braves,0.746,0.323
1956,St. Louis Cardinals,0.732,0.333
1956,Washington Senators,0.718,0.341
1956,Cleveland Indians,0.716,0.335
1956,Philadelphia Phillies,0.71,0.329
1956,Pittsburgh Pirates,0.687,0.307
1956,Kansas City Athletics,0.685,0.315
1956,Chicago Cubs,0.684,0.302
1956,New York Giants,0.681,0.299
1956,Baltimore Orioles,0.67,0.32
1957,Cincinnati Redlegs,0.77,0.338
1957,Milwaukee Braves,0.769,0.327
1957,New York Yankees,0.748,0.339
1957,Boston Red Sox,0.746,0.341
1957,St. Louis Cardinals,0.738,0.333
1957,Chicago White Sox,0.719,0.344
1957,Brooklyn Dodgers,0.712,0.325
1957,Cleveland Indians,0.711,0.329
1957,New York Giants,0.704,0.311
1957,Detroit Tigers,0.701,0.323
1957,Pittsburgh Pirates,0.699,0.315
1957,Philadelphia Phillies,0.697,0.322
1957,Kansas City Athletics,0.689,0.295
1957,Chicago Cubs,0.685,0.305
1957,Washington Senators,0.679,0.316
1957,Baltimore Orioles,0.671,0.318
1957,Cincinnati Redlegs,0.77,0.338
1957,Milwaukee Braves,0.769,0.327
1957,New York Yankees,0.748,0.339
1957,Boston Red Sox,0.746,0.341
1957,St. Louis Cardinals,0.738,0.333
1957,Chicago White Sox,0.719,0.344
1957,Brooklyn Dodgers,0.712,0.325
1957,Cleveland Indians,0.711,0.329
1957,New York Giants,0.704,0.311
1957,Detroit Tigers,0.701,0.323
1957,Pittsburgh Pirates,0.699,0.315
1957,Philadelphia Phillies,0.697,0.322
1957,Kansas City Athletics,0.689,0.295
1957,Chicago Cubs,0.685,0.305
1957,Washington Senators,0.679,0.316
1957,Baltimore Orioles,0.671,0.318
1957,Cincinnati Redlegs,0.77,0.338
1957,Milwaukee Braves,0.769,0.327
1957,New York Yankees,0.748,0.339
1957,Boston Red Sox,0.746,0.341
1957,St. Louis Cardinals,0.738,0.333
1957,Chicago White Sox,0.719,0.344
1957,Brooklyn Dodgers,0.712,0.325
1957,Cleveland Indians,0.711,0.329
1957,New York Giants,0.704,0.311
1957,Detroit Tigers,0.701,0.323
1957,Pittsburgh Pirates,0.699,0.315
1957,Philadelphia Phillies,0.697,0.322
1957,Kansas City Athletics,0.689,0.295
1957,Chicago Cubs,0.685,0.305
1957,Washington Senators,0.679,0.316
1957,Baltimore Orioles,0.671,0.318
1957,Cincinnati Redlegs,0.77,0.338
1957,Milwaukee Braves,0.769,0.327
1957,New York Yankees,0.748,0.339
1957,Boston Red Sox,0.746,0.341
1957,St. Louis Cardinals,0.738,0.333
1957,Chicago White Sox,0.719,0.344
1957,Brooklyn Dodgers,0.712,0.325
1957,Cleveland Indians,0.711,0.329
1957,New York Giants,0.704,0.311
1957,Detroit Tigers,0.701,0.323
1957,Pittsburgh Pirates,0.699,0.315
1957,Philadelphia Phillies,0.697,0.322
1957,Kansas City Athletics,0.689,0.295
1957,Chicago Cubs,0.685,0.305
1957,Washington Senators,0.679,0.316
1957,Baltimore Orioles,0.671,0.318
1957,Cincinnati Redlegs,0.77,0.338
1957,Milwaukee Braves,0.769,0.327
1957,New York Yankees,0.748,0.339
1957,Boston Red Sox,0.746,0.341
1957,St. Louis Cardinals,0.738,0.333
1957,Chicago White Sox,0.719,0.344
1957,Brooklyn Dodgers,0.712,0.325
1957,Cleveland Indians,0.711,0.329
1957,New York Giants,0.704,0.311
1957,Detroit Tigers,0.701,0.323
1957,Pittsburgh Pirates,0.699,0.315
1957,Philadelphia Phillies,0.697,0.322
1957,Kansas City Athletics,0.689,0.295
1957,Chicago Cubs,0.685,0.305
1957,Washington Senators,0.679,0.316
1957,Baltimore Orioles,0.671,0.318
1957,Cincinnati Redlegs,0.77,0.338
1957,Milwaukee Braves,0.769,0.327
1957,New York Yankees,0.748,0.339
1957,Boston Red Sox,0.746,0.341
1957,St. Louis Cardinals,0.738,0.333
1957,Chicago White Sox,0.719,0.344
1957,Brooklyn Dodgers,0.712,0.325
1957,Cleveland Indians,0.711,0.329
1957,New York Giants,0.704,0.311
1957,Detroit Tigers,0.701,0.323
1957,Pittsburgh Pirates,0.699,0.315
1957,Philadelphia Phillies,0.697,0.322
1957,Kansas City Athletics,0.689,0.295
1957,Chicago Cubs,0.685,0.305
1957,Washington Senators,0.679,0.316
1957,Baltimore Orioles,0.671,0.318
1957,Cincinnati Redlegs,0.77,0.338
1957,Milwaukee Braves,0.769,0.327
1957,New York Yankees,0.748,0.339
1957,Boston Red Sox,0.746,0.341
1957,St. Louis Cardinals,0.738,0.333
1957,Chicago White Sox,0.719,0.344
1957,Brooklyn Dodgers,0.712,0.325
1957,Cleveland Indians,0.711,0.329
1957,New York Giants,0.704,0.311
1957,Detroit Tigers,0.701,0.323
1957,Pittsburgh Pirates,0.699,0.315
1957,Philadelphia Phillies,0.697,0.322
1957,Kansas City Athletics,0.689,0.295
1957,Chicago Cubs,0.685,0.305
1957,Washington Senators,0.679,0.316
1957,Baltimore Orioles,0.671,0.318
1957,Cincinnati Redlegs,0.77,0.338
1957,Milwaukee Braves,0.769,0.327
1957,New York Yankees,0.748,0.339
1957,Boston Red Sox,0.746,0.341
1957,St. Louis Cardinals,0.738,0.333
1957,Chicago White Sox,0.719,0.344
1957,Brooklyn Dodgers,0.712,0.325
1957,Cleveland Indians,0.711,0.329
1957,New York Giants,0.704,0.311
1957,Detroit Tigers,0.701,0.323
1957,Pittsburgh Pirates,0.699,0.315
1957,Philadelphia Phillies,0.697,0.322
1957,Kansas City Athletics,0.689,0.295
1957,Chicago Cubs,0.685,0.305
1957,Washington Senators,0.679,0.316
1957,Baltimore Orioles,0.671,0.318
1957,Cincinnati Redlegs,0.77,0.338
1957,Milwaukee Braves,0.769,0.327
1957,New York Yankees,0.748,0.339
1957,Boston Red Sox,0.746,0.341
1957,St. Louis Cardinals,0.738,0.333
1957,Chicago White Sox,0.719,0.344
1957,Brooklyn Dodgers,0.712,0.325
1957,Cleveland Indians,0.711,0.329
1957,New York Giants,0.704,0.311
1957,Detroit Tigers,0.701,0.323
1957,Pittsburgh Pirates,0.699,0.315
1957,Philadelphia Phillies,0.697,0.322
1957,Kansas City Athletics,0.689,0.295
1957,Chicago Cubs,0.685,0.305
1957,Washington Senators,0.679,0.316
1957,Baltimore Orioles,0.671,0.318
1957,Cincinnati Redlegs,0.77,0.338
1957,Milwaukee Braves,0.769,0.327
1957,New York Yankees,0.748,0.339
1957,Boston Red Sox,0.746,0.341
1957,St. Louis Cardinals,0.738,0.333
1957,Chicago White Sox,0.719,0.344
1957,Brooklyn Dodgers,0.712,0.325
1957,Cleveland Indians,0.711,0.329
1957,New York Giants,0.704,0.311
1957,Detroit Tigers,0.701,0.323
1957,Pittsburgh Pirates,0.699,0.315
1957,Philadelphia Phillies,0.697,0.322
1957,Kansas City Athletics,0.689,0.295
1957,Chicago Cubs,0.685,0.305
1957,Washington Senators,0.679,0.316
1957,Baltimore Orioles,0.671,0.318
1958,Chicago Cubs,0.756,0.33
1958,San Francisco Giants,0.753,0.331
1958,New York Yankees,0.752,0.336
1958,Milwaukee Braves,0.741,0.329
1958,Philadelphia Phillies,0.739,0.339
1958,Boston Red Sox,0.738,0.338
1958,Cleveland Indians,0.728,0.325
1958,Pittsburgh Pirates,0.727,0.317
1958,Cincinnati Redlegs,0.72,0.331
1958,Los Angeles Dodgers,0.719,0.317
1958,Detroit Tigers,0.715,0.326
1958,St. Louis Cardinals,0.709,0.329
1958,Chicago White Sox,0.694,0.327
1958,Kansas City Athletics,0.688,0.307
1958,Washington Senators,0.664,0.307
1958,Baltimore Orioles,0.658,0.308
1958,Chicago Cubs,0.756,0.33
1958,San Francisco Giants,0.753,0.331
1958,New York Yankees,0.752,0.336
1958,Milwaukee Braves,0.741,0.329
1958,Philadelphia Phillies,0.739,0.339
1958,Boston Red Sox,0.738,0.338
1958,Cleveland Indians,0.728,0.325
1958,Pittsburgh Pirates,0.727,0.317
1958,Cincinnati Redlegs,0.72,0.331
1958,Los Angeles Dodgers,0.719,0.317
1958,Detroit Tigers,0.715,0.326
1958,St. Louis Cardinals,0.709,0.329
1958,Chicago White Sox,0.694,0.327
1958,Kansas City Athletics,0.688,0.307
1958,Washington Senators,0.664,0.307
1958,Baltimore Orioles,0.658,0.308
1958,Chicago Cubs,0.756,0.33
1958,San Francisco Giants,0.753,0.331
1958,New York Yankees,0.752,0.336
1958,Milwaukee Braves,0.741,0.329
1958,Philadelphia Phillies,0.739,0.339
1958,Boston Red Sox,0.738,0.338
1958,Cleveland Indians,0.728,0.325
1958,Pittsburgh Pirates,0.727,0.317
1958,Cincinnati Redlegs,0.72,0.331
1958,Los Angeles Dodgers,0.719,0.317
1958,Detroit Tigers,0.715,0.326
1958,St. Louis Cardinals,0.709,0.329
1958,Chicago White Sox,0.694,0.327
1958,Kansas City Athletics,0.688,0.307
1958,Washington Senators,0.664,0.307
1958,Baltimore Orioles,0.658,0.308
1958,Chicago Cubs,0.756,0.33
1958,San Francisco Giants,0.753,0.331
1958,New York Yankees,0.752,0.336
1958,Milwaukee Braves,0.741,0.329
1958,Philadelphia Phillies,0.739,0.339
1958,Boston Red Sox,0.738,0.338
1958,Cleveland Indians,0.728,0.325
1958,Pittsburgh Pirates,0.727,0.317
1958,Cincinnati Redlegs,0.72,0.331
1958,Los Angeles Dodgers,0.719,0.317
1958,Detroit Tigers,0.715,0.326
1958,St. Louis Cardinals,0.709,0.329
1958,Chicago White Sox,0.694,0.327
1958,Kansas City Athletics,0.688,0.307
1958,Washington Senators,0.664,0.307
1958,Baltimore Orioles,0.658,0.308
1958,Chicago Cubs,0.756,0.33
1958,San Francisco Giants,0.753,0.331
1958,New York Yankees,0.752,0.336
1958,Milwaukee Braves,0.741,0.329
1958,Philadelphia Phillies,0.739,0.339
1958,Boston Red Sox,0.738,0.338
1958,Cleveland Indians,0.728,0.325
1958,Pittsburgh Pirates,0.727,0.317
1958,Cincinnati Redlegs,0.72,0.331
1958,Los Angeles Dodgers,0.719,0.317
1958,Detroit Tigers,0.715,0.326
1958,St. Louis Cardinals,0.709,0.329
1958,Chicago White Sox,0.694,0.327
1958,Kansas City Athletics,0.688,0.307
1958,Washington Senators,0.664,0.307
1958,Baltimore Orioles,0.658,0.308
1958,Chicago Cubs,0.756,0.33
1958,San Francisco Giants,0.753,0.331
1958,New York Yankees,0.752,0.336
1958,Milwaukee Braves,0.741,0.329
1958,Philadelphia Phillies,0.739,0.339
1958,Boston Red Sox,0.738,0.338
1958,Cleveland Indians,0.728,0.325
1958,Pittsburgh Pirates,0.727,0.317
1958,Cincinnati Redlegs,0.72,0.331
1958,Los Angeles Dodgers,0.719,0.317
1958,Detroit Tigers,0.715,0.326
1958,St. Louis Cardinals,0.709,0.329
1958,Chicago White Sox,0.694,0.327
1958,Kansas City Athletics,0.688,0.307
1958,Washington Senators,0.664,0.307
1958,Baltimore Orioles,0.658,0.308
1958,Chicago Cubs,0.756,0.33
1958,San Francisco Giants,0.753,0.331
1958,New York Yankees,0.752,0.336
1958,Milwaukee Braves,0.741,0.329
1958,Philadelphia Phillies,0.739,0.339
1958,Boston Red Sox,0.738,0.338
1958,Cleveland Indians,0.728,0.325
1958,Pittsburgh Pirates,0.727,0.317
1958,Cincinnati Redlegs,0.72,0.331
1958,Los Angeles Dodgers,0.719,0.317
1958,Detroit Tigers,0.715,0.326
1958,St. Louis Cardinals,0.709,0.329
1958,Chicago White Sox,0.694,0.327
1958,Kansas City Athletics,0.688,0.307
1958,Washington Senators,0.664,0.307
1958,Baltimore Orioles,0.658,0.308
1958,Chicago Cubs,0.756,0.33
1958,San Francisco Giants,0.753,0.331
1958,New York Yankees,0.752,0.336
1958,Milwaukee Braves,0.741,0.329
1958,Philadelphia Phillies,0.739,0.339
1958,Boston Red Sox,0.738,0.338
1958,Cleveland Indians,0.728,0.325
1958,Pittsburgh Pirates,0.727,0.317
1958,Cincinnati Redlegs,0.72,0.331
1958,Los Angeles Dodgers,0.719,0.317
1958,Detroit Tigers,0.715,0.326
1958,St. Louis Cardinals,0.709,0.329
1958,Chicago White Sox,0.694,0.327
1958,Kansas City Athletics,0.688,0.307
1958,Washington Senators,0.664,0.307
1958,Baltimore Orioles,0.658,0.308
1958,Chicago Cubs,0.756,0.33
1958,San Francisco Giants,0.753,0.331
1958,New York Yankees,0.752,0.336
1958,Milwaukee Braves,0.741,0.329
1958,Philadelphia Phillies,0.739,0.339
1958,Boston Red Sox,0.738,0.338
1958,Cleveland Indians,0.728,0.325
1958,Pittsburgh Pirates,0.727,0.317
1958,Cincinnati Redlegs,0.72,0.331
1958,Los Angeles Dodgers,0.719,0.317
1958,Detroit Tigers,0.715,0.326
1958,St. Louis Cardinals,0.709,0.329
1958,Chicago White Sox,0.694,0.327
1958,Kansas City Athletics,0.688,0.307
1958,Washington Senators,0.664,0.307
1958,Baltimore Orioles,0.658,0.308
1958,Chicago Cubs,0.756,0.33
1958,San Francisco Giants,0.753,0.331
1958,New York Yankees,0.752,0.336
1958,Milwaukee Braves,0.741,0.329
1958,Philadelphia Phillies,0.739,0.339
1958,Boston Red Sox,0.738,0.338
1958,Cleveland Indians,0.728,0.325
1958,Pittsburgh Pirates,0.727,0.317
1958,Cincinnati Redlegs,0.72,0.331
1958,Los Angeles Dodgers,0.719,0.317
1958,Detroit Tigers,0.715,0.326
1958,St. Louis Cardinals,0.709,0.329
1958,Chicago White Sox,0.694,0.327
1958,Kansas City Athletics,0.688,0.307
1958,Washington Senators,0.664,0.307
1958,Baltimore Orioles,0.658,0.308
1959,Cincinnati Redlegs,0.764,0.337
1959,Milwaukee Braves,0.743,0.326
1959,San Francisco Giants,0.736,0.322
1959,Detroit Tigers,0.735,0.335
1959,St. Louis Cardinals,0.731,0.331
1959,Los Angeles Dodgers,0.73,0.334
1959,Cleveland Indians,0.729,0.321
1959,New York Yankees,0.721,0.319
1959,Boston Red Sox,0.72,0.335
1959,Kansas City Athletics,0.716,0.326
1959,Chicago Cubs,0.715,0.317
1959,Pittsburgh Pirates,0.704,0.32
1959,Chicago White Sox,0.691,0.327
1959,Washington Senators,0.687,0.308
1959,Philadelphia Phillies,0.674,0.312
1959,Baltimore Orioles,0.655,0.31
1959,Cincinnati Redlegs,0.764,0.337
1959,Milwaukee Braves,0.743,0.326
1959,San Francisco Giants,0.736,0.322
1959,Detroit Tigers,0.735,0.335
1959,St. Louis Cardinals,0.731,0.331
1959,Los Angeles Dodgers,0.73,0.334
1959,Cleveland Indians,0.729,0.321
1959,New York Yankees,0.721,0.319
1959,Boston Red Sox,0.72,0.335
1959,Kansas City Athletics,0.716,0.326
1959,Chicago Cubs,0.715,0.317
1959,Pittsburgh Pirates,0.704,0.32
1959,Chicago White Sox,0.691,0.327
1959,Washington Senators,0.687,0.308
1959,Philadelphia Phillies,0.674,0.312
1959,Baltimore Orioles,0.655,0.31
1959,Cincinnati Redlegs,0.764,0.337
1959,Milwaukee Braves,0.743,0.326
1959,San Francisco Giants,0.736,0.322
1959,Detroit Tigers,0.735,0.335
1959,St. Louis Cardinals,0.731,0.331
1959,Los Angeles Dodgers,0.73,0.334
1959,Cleveland Indians,0.729,0.321
1959,New York Yankees,0.721,0.319
1959,Boston Red Sox,0.72,0.335
1959,Kansas City Athletics,0.716,0.326
1959,Chicago Cubs,0.715,0.317
1959,Pittsburgh Pirates,0.704,0.32
1959,Chicago White Sox,0.691,0.327
1959,Washington Senators,0.687,0.308
1959,Philadelphia Phillies,0.674,0.312
1959,Baltimore Orioles,0.655,0.31
1959,Cincinnati Redlegs,0.764,0.337
1959,Milwaukee Braves,0.743,0.326
1959,San Francisco Giants,0.736,0.322
1959,Detroit Tigers,0.735,0.335
1959,St. Louis Cardinals,0.731,0.331
1959,Los Angeles Dodgers,0.73,0.334
1959,Cleveland Indians,0.729,0.321
1959,New York Yankees,0.721,0.319
1959,Boston Red Sox,0.72,0.335
1959,Kansas City Athletics,0.716,0.326
1959,Chicago Cubs,0.715,0.317
1959,Pittsburgh Pirates,0.704,0.32
1959,Chicago White Sox,0.691,0.327
1959,Washington Senators,0.687,0.308
1959,Philadelphia Phillies,0.674,0.312
1959,Baltimore Orioles,0.655,0.31
1959,Cincinnati Redlegs,0.764,0.337
1959,Milwaukee Braves,0.743,0.326
1959,San Francisco Giants,0.736,0.322
1959,Detroit Tigers,0.735,0.335
1959,St. Louis Cardinals,0.731,0.331
1959,Los Angeles Dodgers,0.73,0.334
1959,Cleveland Indians,0.729,0.321
1959,New York Yankees,0.721,0.319
1959,Boston Red Sox,0.72,0.335
1959,Kansas City Athletics,0.716,0.326
1959,Chicago Cubs,0.715,0.317
1959,Pittsburgh Pirates,0.704,0.32
1959,Chicago White Sox,0.691,0.327
1959,Washington Senators,0.687,0.308
1959,Philadelphia Phillies,0.674,0.312
1959,Baltimore Orioles,0.655,0.31
1959,Cincinnati Redlegs,0.764,0.337
